dstport,protocol,tag
44877,tcp,sv_P1
36616,icmp,sv_P3
49548,icmp,sv_P3
46080,tcp,sv_P1
51790,udp,sv_P1
45439,tcp,sv_P1
18094,icmp,sv_P2
21452,icmp,sv_P4
28017,icmp,sv_P2
16494,icmp,sv_P1
65350,tcp,sv_P4
24836,udp,sv_P2
17330,tcp,sv_P4
54844,icmp,sv_P1
29292,tcp,sv_P2
28991,icmp,sv_P2
13912,udp,sv_P3
34491,udp,sv_P1
53232,icmp,sv_P3
48868,tcp,sv_P1
8565,tcp,sv_P4
16395,tcp,sv_P3
16479,tcp,sv_P5
51368,icmp,sv_P3
59899,udp,sv_P4
45416,icmp,sv_P1
35717,icmp,sv_P1
34477,udp,sv_P1
29170,tcp,sv_P1
22523,icmp,sv_P3
43069,icmp,sv_P1
23919,udp,sv_P5
26457,icmp,sv_P4
29609,udp,sv_P1
46122,tcp,sv_P5
53259,icmp,sv_P5
28031,tcp,sv_P5
6490,udp,sv_P4
43131,udp,sv_P2
6412,tcp,sv_P4
12744,udp,sv_P5
12300,icmp,sv_P2
65428,icmp,sv_P1
20963,tcp,sv_P3
62755,icmp,sv_P4
26510,icmp,sv_P2
56343,icmp,sv_P2
4006,icmp,sv_P2
48603,icmp,sv_P3
45361,icmp,sv_P4
45488,icmp,sv_P3
65516,udp,sv_P3
33529,udp,sv_P5
60441,icmp,sv_P2
54910,icmp,sv_P4
54424,icmp,sv_P5
60613,udp,sv_P2
37742,icmp,sv_P1
13598,udp,sv_P1
10550,icmp,sv_P4
15023,icmp,sv_P5
55710,tcp,sv_P2
34080,tcp,sv_P5
21778,icmp,sv_P1
45811,icmp,sv_P3
36052,icmp,sv_P1
4841,udp,sv_P5
39509,udp,sv_P2
53361,udp,sv_P5
21245,icmp,sv_P2
25394,tcp,sv_P3
52452,udp,sv_P4
37905,tcp,sv_P5
37466,icmp,sv_P1
3514,icmp,sv_P4
47671,icmp,sv_P5
12610,tcp,sv_P2
30045,tcp,sv_P3
46690,udp,sv_P5
6701,tcp,sv_P1
49194,udp,sv_P1
59896,icmp,sv_P2
20137,udp,sv_P3
18948,icmp,sv_P1
2579,icmp,sv_P2
46175,icmp,sv_P5
46195,tcp,sv_P5
12080,udp,sv_P4
52307,tcp,sv_P2
38406,icmp,sv_P5
48267,icmp,sv_P3
60540,icmp,sv_P2
29228,udp,sv_P3
48679,icmp,sv_P1
56706,tcp,sv_P4
47053,icmp,sv_P5
4644,udp,sv_P3
12640,tcp,sv_P4
14979,icmp,sv_P3
48962,icmp,sv_P5
25418,udp,sv_P1
42074,udp,sv_P2
52080,icmp,sv_P4
35249,tcp,sv_P4
548,tcp,sv_P3
4615,udp,sv_P5
10483,icmp,sv_P3
52121,icmp,sv_P2
15115,icmp,sv_P4
31458,tcp,sv_P3
27317,tcp,sv_P3
46794,tcp,sv_P2
14100,icmp,sv_P2
60711,icmp,sv_P4
64152,icmp,sv_P3
52006,udp,sv_P3
24367,udp,sv_P2
55973,udp,sv_P1
13225,icmp,sv_P3
9039,udp,sv_P3
35570,icmp,sv_P3
35912,udp,sv_P2
56036,udp,sv_P1
6030,tcp,sv_P1
5730,tcp,sv_P5
49185,icmp,sv_P3
25174,tcp,sv_P2
5587,tcp,sv_P2
29044,tcp,sv_P5
42426,tcp,sv_P3
47978,icmp,sv_P2
62227,udp,sv_P5
44400,icmp,sv_P1
1402,icmp,sv_P2
4596,tcp,sv_P5
7343,tcp,sv_P2
51173,tcp,sv_P4
22924,tcp,sv_P2
38630,udp,sv_P5
3034,icmp,sv_P5
46457,icmp,sv_P2
4678,udp,sv_P5
40476,tcp,sv_P5
43658,icmp,sv_P5
51550,tcp,sv_P2
45028,udp,sv_P1
39100,icmp,sv_P2
24662,tcp,sv_P3
