Port/Protocol Combination Counts:

Port       Protocol   Count
64018      tcp        1    
27379      icmp       3    
40494      icmp       2    
36656      icmp       1    
5955       udp        1    
55238      icmp       1    
23816      icmp       1    
56597      tcp        1    
43820      icmp       1    
26427      udp        1    
25888      icmp       3    
21693      tcp        2    
23954      udp        1    
58581      icmp       1    
22024      icmp       1    
37952      tcp        1    
12915      icmp       1    
49762      tcp        3    
58379      tcp        2    
44683      udp        1    
41956      tcp        2    
3738       udp        1    
63466      udp        3    
1220       udp        2    
17956      tcp        2    
60170      tcp        1    
8354       icmp       2    
27004      udp        1    
31722      udp        2    
24038      icmp       3    
55564      udp        1    
59899      tcp        2    
35812      udp        1    
49387      tcp        1    
32889      icmp       2    
54398      icmp       3    
19078      tcp        3    
13736      tcp        1    
20478      udp        2    
2702       tcp        1    
5018       icmp       2    
52138      icmp       1    
43067      tcp        3    
5842       tcp        2    
28299      udp        2    
24950      udp        2    
2554       udp        2    
55135      tcp        2    
3671       tcp        3    
25996      tcp        2    
12162      tcp        2    
63497      icmp       2    
59886      icmp       2    
22936      udp        3    
37815      tcp        2    
38296      udp        2    
31657      udp        2    
36709      icmp       2    
14811      icmp       1    
49378      udp        2    
38773      udp        2    
54656      udp        1    
16114      tcp        1    
60248      tcp        2    
9926       udp        3    
27038      icmp       2    
16089      icmp       2    
36023      icmp       3    
30935      udp        1    
41967      udp        1    
57206      tcp        1    
58297      tcp        1    
85         udp        4    
13256      tcp        1    
30562      tcp        1    
21826      tcp        1    
42539      tcp        1    
61892      tcp        1    
18173      udp        2    
2562       tcp        1    
31273      icmp       1    
41898      udp        2    
15920      tcp        1    
2081       icmp       1    
45615      icmp       1    
7158       udp        1    
21730      udp        1    
17482      icmp       1    
59897      icmp       2    
14167      tcp        2    
3354       icmp       1    
14063      tcp        2    
15181      tcp        2    
26626      tcp        2    
14144      icmp       3    
30912      udp        1    
16996      tcp        3    
28551      udp        3    
36991      tcp        1    
29610      icmp       3    
46795      udp        1    
49329      udp        2    
28003      udp        1    
63374      udp        1    
11139      icmp       2    
36190      tcp        3    
30293      tcp        3    
33208      tcp        1    
14146      tcp        3    
59291      icmp       1    
50631      icmp       1    
1679       tcp        3    
17153      icmp       2    
7479       udp        3    
4034       icmp       1    
31110      icmp       2    
40496      udp        4    
15835      udp        1    
58814      udp        2    
48465      tcp        2    
45934      icmp       2    
26715      icmp       2    
37190      icmp       2    
3462       icmp       2    
63484      tcp        2    
48298      icmp       1    
7024       icmp       1    
28560      tcp        1    
20060      tcp        1    
30363      tcp        2    
9002       udp        3    
4852       icmp       1    
42662      tcp        1    
4464       udp        1    
31424      udp        2    
38605      udp        1    
33240      udp        4    
835        icmp       1    
35011      udp        1    
54930      icmp       2    
8883       icmp       1    
35353      icmp       1    
22628      icmp       1    
32374      tcp        2    
48974      tcp        1    
1961       tcp        1    
25279      udp        1    
39553      tcp        2    
927        udp        1    
30935      icmp       1    
56440      udp        2    
59292      icmp       1    
7482       udp        2    
58479      udp        2    
2133       udp        1    
63183      udp        1    
18618      udp        2    
